500,800,500,1106,0,150,396,30,0
1000,832,500,1196,0,306,346.5,30,0
1000,984,500,1000,0,1248,252.5,60,285
1000,800,500,1150,0,1200,148.5,30,410
1000,682,500,1000,0,1050,99,30,650
1000,1116,500,1000,0,766,99,58,0
1000,850,500,1806,0,1420,445.5,30,0
1000,666,500,1400,0,1370,396,51,0
1000,899,600,1975,0,1232,396,52,0
1000,800,500,1650,0,1502,346.5,30,0
1000,635,667,1531,0,1589,303,79,0
2800,500,500,1000,0,1365,216,111,0
3000,500,500,1000,0,1200,221.5,79,0
1000,500,1172,1973,0,1739,148,254,0
1000,500,800,2001,0,1905,182,119,0
1000,1286,1468,2244,0,900,148.5,30,0
1000,962,500,2034,0,1050,355.5,340,0
1000,1231,500,1043,0,600,361,141,0
1000,980,500,2643,0,450,297,722,0
1000,1350,500,1333,0,300,198,30,0
1000,500,500,1804,0,300,99,30,2080
1000,500,500,1000,0,0,148.5,30,850
1000,500,500,1000,0,67,297,30,0
1000,760,500,1768,0,150,99,30,0
1000,982,884,1834,0,300,463,114,0
1000,2400,500,2027,0,363,148.5,30,0
1000,500,500,1000,0,0,247.5,30,1160
1000,500,500,1000,0,0,198,30,270
1000,967,500,1000,0,0,198,30,437
1000,828,500,1687,0,786,247.5,30,919
1000,500,500,1930,3200,546,148.5,30,516
1000,500,500,1922,0,436,148.5,30,1512
1000,653,500,1176,0,450,262,130,816
1000,1896,862,3483,0,625,135,458,0
1000,969,500,2732,0,900,216.5,714,0
1000,1484,500,2344,0,828,148.5,30,0
1000,500,500,1719,0,300,198,30,0
1000,500,500,1000,0,600,99,30,5571
1000,935,500,1924,0,150,247.5,53,0
1000,500,1080,1498,0,442,499.5,30,0
1000,500,500,1295,0,215,247.5,30,0
1000,500,500,1000,0,300,99,30,0
1000,500,500,1000,0,150,198,30,0
1507,500,500,1703,0,150,148.5,30,0
1142,500,500,1362,0,150,198,30,0
2358,500,930,1672,0,346,305.5,59,0
1000,500,827,1000,0,190,269,100,0
1000,500,722,1000,0,300,445.5,30,0
1000,500,851,1000,0,160,346.5,30,0
1000,500,930,1000,0,218,396,30,0
